ohms,degF
4392,187
4561,185
4737,183
4921,181
5113,179
5314,177
5526,175
5745,173
5975,171
6215,169
6466,167
6729,165
7004,163
7292,161
7593,159
7912,157
8243,155
8590,153
8954,151
9335,149
9734,147
10154,145
10593,143
11055,141
11544,139
12053,137
12588,135
13150,133
13740,131
14360,129
15013,127
15699,125
16421,123
17187,121
17987,119
18829,117
19716,115
20651,113
21635,111
22674,109
23768,107
24923,105
26152,103
27438,101
28796,99
30230,97
31745,95
33345,93
35037,91
36826,89
38718,87
40739,85
42859,83
45104,81
47481,79
50000,77
52669,75
55499,73
58500,71
61685,69
65095,67
68685,65
72497,63
76547,61
80852,59
85428,57
90296,55
95475,53
100988,51
106912,49
113168,47
119834,45
126941,43
134519,41
142605,39
151235,37
160449,35
170291,33
180906,31
192156,29
204189,27
217062,25
230842,23
245599,21
261408,19
278353,17
296522,15
316194,13
337126,11
359601,9
383745,7
409692,5
437592,3
467604,1
499905,-1
534686,-3
572506,-5
612919,-7
656499,-9
703517,-11
754271,-13
809086,-15
868317,-17
932353,-19
1001621,-21
1077290,-23
1158525,-25
1246540,-27
1341952,-29
1445439,-31
1557748,-33
1679700,-35
1812199,-37
1956240,-39
