ohms,degF
310,187
321,185
333,183
345,181
357,179
370,177
384,175
398,173
413,171
428,169
444,167
461,165
478,163
496,161
516,159
536,157
556,155
578,153
601,151
625,149
650,147
676,145
703,143
731,141
761,139
793,137
825,135
860,133
895,131
933,129
973,127
1014,125
1058,123
1104,121
1151,119
1202,117
1255,115
1310,113
1368,111
1430,109
1494,107
1562,105
1634,103
1709,101
1788,99
1871,97
1959,95
2051,93
2149,91
2252,89
2360,87
2475,85
2596,83
2723,81
2858,79
3000,77
3150,75
3309,73
3477,71
3655,69
3844,67
4043,65
4254,63
4478,61
4714,59
4965,57
5231,55
5513,53
5813,51
6134,49
6472,47
6831,45
7213,43
7619,41
8050,39
8510,37
8999,35
9519,33
10079,31
10671,29
11302,27
11975,25
12694,23
13461,21
14280,19
15155,17
16091,15
17101,13
18173,11
19320,9
20549,7
21865,5
23277,3
24790,1
26414,-1
28157,-3
30047,-5
32061,-7
34225,-9
36553,-11
39059,-13
41756,-15
44663,-17
47795,-19
51173,-21
54851,-23
58789,-25
63041,-27
67637,-29
72607,-31
77983,-33
83804,-35
90108,-37
96941,-39
