ohms,degF
341,187
354,185
366,183
379,181
393,179
407,177
422,175
438,173
454,171
471,169
489,167
507,165
526,163
546,161
567,159
590,157
612,155
636,153
661,151
688,149
715,147
744,145
774,143
805,141
838,139
872,137
908,135
946,133
986,131
1027,129
1071,127
1116,125
1164,123
1215,121
1267,119
1323,117
1381,115
1442,113
1506,111
1574,109
1645,107
1719,105
1799,103
1881,101
1968,99
2060,97
2157,95
2258,93
2366,91
2479,89
2598,87
2725,85
2858,83
2998,81
3146,79
3303,77
3468,75
3643,73
3828,71
4023,69
4232,67
4451,65
4684,63
4929,61
5190,59
5466,57
5759,55
6070,53
6400,51
6753,49
7126,47
7521,45
7941,43
8388,41
8863,39
9369,37
9908,35
10481,33
11098,31
11750,29
12445,27
13186,25
13977,23
14822,21
15724,19
16688,17
17719,15
18831,13
20012,11
21275,9
22628,7
24078,5
25633,3
27300,1
29089,-1
31009,-3
33091,-5
35308,-7
37693,-9
40257,-11
43018,-13
45989,-15
49191,-17
52642,-19
56363,-21
60416,-23
64754,-25
69440,-27
74504,-29
79980,-31
85904,-33
92318,-35
99266,-37
106795,-39
