ohms,degF
256,187
264,185
272,183
280,181
289,179
298,177
307,175
317,173
327,171
338,169
349,167
360,165
372,163
384,161
396,159
410,157
423,155
438,153
452,151
468,149
484,147
500,145
518,143
536,141
555,139
574,137
595,135
616,133
638,131
661,129
685,127
710,125
736,123
763,121
792,119
822,117
852,115
885,113
918,111
954,109
990,107
1029,105
1069,103
1111,101
1155,99
1201,97
1250,95
1300,93
1353,91
1408,89
1466,87
1527,85
1590,83
1657,81
1727,79
1800,77
1877,75
1957,73
2042,71
2131,69
2225,67
2323,65
2426,63
2535,61
2649,59
2769,57
2895,55
3028,53
3167,51
3316,49
3471,47
3635,45
3807,43
3989,41
4180,39
4383,37
4596,35
4822,33
5062,31
5314,29
5580,27
5861,25
6159,23
6473,21
6807,19
7159,17
7533,15
7933,13
8352,11
8798,9
9270,7
9771,5
10303,3
10868,1
11468,-1
12106,-3
12791,-5
13512,-7
14281,-9
15098,-11
15969,-13
16896,-15
17885,-17
18939,-19
20064,-21
21275,-23
22557,-25
23927,-27
25390,-29
26955,-31
28628,-33
30419,-35
32336,-37
34389,-39
