ohms,degF
1754,187
1822,185
1892,183
1966,181
2043,179
2123,177
2208,175
2296,173
2388,171
2484,169
2584,167
2689,165
2799,163
2914,161
3035,159
3163,157
3295,155
3434,153
3579,151
3732,149
3892,147
4059,145
4235,143
4420,141
4616,139
4819,137
5033,135
5258,133
5494,131
5742,129
6004,127
6278,125
6567,123
6874,121
7194,119
7531,117
7886,115
8260,113
8654,111
9069,109
9507,107
9969,105
10461,103
10975,101
11519,99
12092,97
12699,95
13339,93
14016,91
14731,89
15488,87
16297,85
17145,83
18043,81
18994,79
20001,77
21068,75
22200,73
23400,71
24674,69
26037,67
27472,65
28996,63
30615,61
32336,59
34165,57
36111,55
38180,53
40383,51
42750,49
45249,47
47912,45
50750,43
53777,41
57005,39
60451,37
64129,35
68057,33
72294,31
76783,29
81583,27
86719,25
92214,23
98099,21
104402,19
111156,17
118397,15
126236,13
134575,11
143526,9
153140,7
163471,5
174575,3
186518,1
199368,-1
213201,-3
228239,-5
244304,-7
261622,-9
280301,-11
300459,-13
322223,-15
345732,-17
371140,-19
398615,-21
428619,-23
460818,-25
495691,-27
533481,-29
574453,-31
618900,-33
667144,-35
719538,-37
776470,-39
